Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Ouderkerkerplas,52.2934374,4.9268533,official,0.0,,,1.45,4.4,13.7,4.3,0.3,0.2,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.60395,17.5,205.0,2.05,3.4,19.8,9.0,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.8581,72.5,160.0,0.9,4.2,17.4,9.2,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,20.0,50.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,17.5,140.0,0.5,4.0,14.0,9.0,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.5994,,,0.5,7.8,6.949999999999999,3.85,2.1,1.5,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.875,,,0.5,3.3,8.1,1.45,0.9,0.4,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,1.0,5.4,11.9,2.7,1.3,1.5,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,55.0,170.0,1.05,3.45,16.45,6.0,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.3383,45.0,350.0,1.0,4.5,17.0,5.6,0.1,0.1,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.8636,55.0,80.0,1.05,3.6,17.9,5.3,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.4404,50.0,460.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,32.5,415.0,0.5,4.4,11.1,5.9,1.2,1.3,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.34,,,0.5,4.2,6.3,3.3,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,0.5,4.8,3.2,1.5,1.4,0.8,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.5994,,,0.8500000000000001,5.6,11.5,2.4,1.7,2.1,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,-0.1531,22.5,60.0,0.5,4.2,17.3,6.4,0.3,0.3,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,17.5,55.0,0.5,4.5,13.6,11.7,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.0,,,0.5,6.2,6.5,0.4,1.0,0.7,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,0.5,4.05,6.2,1.4,0.6,0.8,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,-0.0258,120.0,125.0,0.9,4.6,18.5,7.6,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,35.0,95.0,1.25,3.8,18.1,8.4,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.926,22.5,110.0,0.5,4.25,16.950000000000003,9.4,0.05,0.05,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.8779,17.5,15.0,0.5,4.8,10.4,10.5,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.2787,,,0.5,6.5,8.1,3.0,1.0,0.4,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,0.5,5.6,6.5,0.7,1.5,0.8,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,0.5,4.75,6.9,1.35,0.0,0.0,0.07
