Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.9247,101.05291871498002,328.66596945254224,1.842336878319461,4.7,5.3,0.2,1.2,0.6,0.43,0
0.84325,246.6769990124584,669.9406400408061,2.8878092069540906,4.8,12.4,2.4,3.4,5.0,0.07,1
0.5422591042261715,130.0,310.0,25.0,3.1,17.5,6.15,0.0,0.0,0.07,1
0.5994,65.0,280.0,9.0,4.3,18.2,6.0,0.2,0.1,0.07,1
0.5719,45.0,105.0,3.8,5.8,18.0,6.8,0.4,0.3,0.07,1
0.8122,20.0,140.0,2.55,4.5,19.950000000000003,13.2,0.0,0.0,0.07,1
0.5485456075774361,15.0,97.5,0.5,4.3,13.6,8.8,0.0,0.0,0.07,1
0.5994,110.00007301977007,278.74150485839624,0.5,5.0,6.7,2.9,2.0,1.3,0.07,1
0.532409670096955,157.91024549396434,417.2820324242459,0.5,6.1,6.3,1.2,2.2,2.2,0.07,1
0.0,102.5311066862061,434.4694926101351,1.45,4.4,13.7,4.3,0.3,0.2,0.07,1
0.60395,17.5,205.0,2.05,3.4,19.8,9.0,0.0,0.0,0.07,1
0.8581,72.5,160.0,0.9,4.2,17.4,9.2,0.0,0.0,0.07,1
0.5469231550743676,20.0,50.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.07,1
0.5505922298309145,17.5,140.0,0.5,4.0,14.0,9.0,0.0,0.0,0.07,1
0.5994,133.0763018717192,344.9792130037457,0.5,7.8,6.949999999999999,3.85,2.1,1.5,0.07,1
0.875,89.58045704278098,313.8667764343907,0.5,3.3,8.1,1.45,0.9,0.4,0.07,1
0.5419471593119537,150.62245892789193,513.0959027302572,1.0,5.4,11.9,2.7,1.3,1.5,0.07,1
0.5454327814354308,55.0,170.0,1.05,3.45,16.45,6.0,0.0,0.0,0.07,1
0.3383,45.0,350.0,1.0,4.5,17.0,5.6,0.1,0.1,0.07,1
0.8636,55.0,80.0,1.05,3.6,17.9,5.3,0.0,0.0,0.07,1
0.4404,50.0,460.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.07,1
0.560507016684884,32.5,415.0,0.5,4.4,11.1,5.9,1.2,1.3,0.07,1
0.34,52.80666007546888,178.58471053493267,0.5,4.2,6.3,3.3,0.0,0.0,0.07,1
0.5337866978259683,84.94492690120862,196.14532523276597,0.5,4.8,3.2,1.5,1.4,0.8,0.07,1
0.5994,168.8658112366324,536.795425999708,0.8500000000000001,5.6,11.5,2.4,1.7,2.1,0.07,1
-0.1531,22.5,60.0,0.5,4.2,17.3,6.4,0.3,0.3,0.07,1
0.5462989380856192,17.5,55.0,0.5,4.5,13.6,11.7,0.0,0.0,0.07,1
0.0,128.96163261850268,422.55357239329004,0.5,6.2,6.5,0.4,1.0,0.7,0.07,1
0.5386428512791606,92.68891872426425,288.55064685865386,0.5,4.05,6.2,1.4,0.6,0.8,0.07,1
-0.0258,120.0,125.0,0.9,4.6,18.5,7.6,0.0,0.0,0.07,1
0.5465842569664475,35.0,95.0,1.25,3.8,18.1,8.4,0.0,0.0,0.07,1
0.926,22.5,110.0,0.5,4.25,16.950000000000003,9.4,0.05,0.05,0.07,1
0.8779,17.5,15.0,0.5,4.8,10.4,10.5,0.0,0.0,0.07,1
0.2787,106.3525839958946,351.55716133486504,0.5,6.5,8.1,3.0,1.0,0.4,0.07,1
0.5374701418045776,123.73053488941648,385.73727025522476,0.5,5.6,6.5,0.7,1.5,0.8,0.07,1
0.5422871838519531,82.31622965449932,315.4352940434317,0.5,4.75,6.9,1.35,0.0,0.0,0.07,1
0.5719,75.0,170.0,0.5,4.0,19.0,7.0,0.0,0.0,0.07,1
0.5486375425558097,22.5,85.0,0.5,3.9,17.8,10.3,0.0,0.0,0.07,1
0.5343464766670377,-1.8141217659642415,-114.61360257481357,0.2390258770844929,5.449999999999999,1.5,6.4,0.0,0.0,0.07,1
0.5302879447326789,179.09884400382148,461.4302472181089,2.1841862063477846,5.8,5.3,0.3,2.8,2.8,0.07,1
0.5435972653907545,85.0,220.0,4.7,4.3,18.2,6.5,1.0,1.4,0.07,1
0.7351,80.0,230.0,0.8500000000000001,4.0,14.9,8.7,0.0,0.0,0.07,1
0.6705,130.0,310.0,25.0,3.1,17.5,6.15,0.0,0.0,0.07,1
0.544908377911235,45.0,105.0,3.8,5.8,18.0,6.8,0.4,0.3,0.07,1
0.6124,20.0,140.0,2.55,4.5,19.950000000000003,13.2,0.0,0.0,0.07,1
0.5426714143026206,42.72291179015095,137.78659481808185,0.5,4.55,9.1,6.5,0.2,0.1,0.07,1
0.49435,17.5,205.0,2.05,3.4,19.8,9.0,0.0,0.0,0.07,1
0.6486,72.5,160.0,0.9,4.2,17.4,9.2,0.0,0.0,0.07,1
0.2202,20.0,50.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.07,1
0.5423,17.5,15.0,0.5,4.6,9.9,8.2,0.0,0.0,0.07,1
0.7717,-4.676306071946968,-60.428119848470516,0.5,4.1,8.7,9.8,0.0,0.0,0.07,1
0.46125,55.0,170.0,1.05,3.45,16.45,6.0,0.0,0.0,0.07,1
